Status,Type,Category,Business or Location Name,Contact Person,Phone,Email,Website,Facebook,Instagram,Address or Area,Google Maps Link,Best Public Contact Method,Best For,Typical Time Needed,Price Range,Seasonality,Hours or Operating Days,Book Ahead Required,Walk-ins Accepted,Kid Friendly,Pet Friendly,Accessibility Notes,Washrooms,Parking,Weather Dependent,Rainy Day Suitable,What Visitors Should Bring,Safety Notes,Cancellation or Weather Policy,Restrictions or Age Limits,Capacity Limits,Short Description,Best-For Line,Local Angle,Common Visitor Questions,Preferred CTA,Public Phone,Public Booking Link,Public Directions Link,Permission to Include,Permission to Use Name,Permission to Use Photos,Interested in Featured Founding Operator,Interested in Premium Story Profile,Notes
Needs outreach,Host Location,QR Host,St. Peter's Lions Club Marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Priority first placement. Strongest existing access.
Needs outreach,Host Location,QR Host,Bras d'Or Lakes Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potential inn/restaurant guest concierge placement.
Needs outreach,Host Location,QR Host,MacBouch Tavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potential food/drinks and visitor traffic placement.
Needs outreach,Host Location,QR Host,Airbnb / cottage host TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Need first private host or cottage welcome-binder placement.
Needs outreach,Host Location,QR Host,Harbour Wars / event signage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonal/event QR placement opportunity.
Needs verification,Recommendation,On the water,Water Experience - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do not publish real operator until permission/details confirmed.
Needs verification,Recommendation,Food & drinks,Local Food Stop - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do not publish real operator until permission/details confirmed.
Needs verification,Recommendation,Local history,St. Peter's History Stop - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likely canal/heritage-related, but verify source details first.
Needs verification,Recommendation,Nature & trails,Nature / Trail Stop - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify access, parking, safety, washrooms, and route details.
Needs verification,Recommendation,Family-friendly,Family-Friendly Stop - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify kid suitability and safety.
Needs verification,Recommendation,Rainy day,Rainy-Day Idea - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify hours and indoor/low-weather suitability.
Needs verification,Recommendation,Something easy,Easy Local Stop - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verify public access and directions.
Needs verification,Recommendation,Events,Local Event Feature - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use for Harbour Wars or this-week local event once verified.
